conversation_id,question,ground_truth,url
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,"이번 여름방학에 학교 기숙사를 신청하려해. 국제학사 신청했는데 몇일에 입실해서 언제 퇴실해??","2025학년도 하계 기숙사 특별개관 거주기간은 하계특별개관 정기 입사일 2025.06.27.(금), 정기 퇴사일 2025.08.22.(금)이다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29038&sort=16&pageIndex=2&searchCnd=1&searchWrd=%25EA%25B8%25B0%25EC%2588%2599%25EC%2582%25AC&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&"
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,"평점평균이 2.8인데 2025-2학기 시대튜터링 프로그램 튜터 신청 가능해?","시대튜터링 튜터 유형은 수업 도우미, 학습 도우미, 전공탐색 도우미가 있으며 학습 도우미 지원 자격은 전체 성적 3.8 이상 또는 튜터링 교과목 성적 B+ 이상인 학생 우선 선발이다. 따라서 평점 평균이 2.8이라면 학습 도우미로 선발되기 어렵다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29542&sort=1&pageIndex=1&searchCnd=1&searchWrd=%25ED%258A%259C%25ED%2584%25B0%25EB%25A7%2581&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&"
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,"직전 학기 성적은 3.9인데 학습 도우미 신청 안되려나?","학습도우미 우선선발 조건은 평점평균 또는, 튜터링 교과목 성적을 우선적인 기준으로 합니다. 평점 평균이 2.8이라면 지원이 어렵습니다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29542&sort=1&pageIndex=1&searchCnd=1&searchWrd=%25ED%258A%259C%25ED%2584%25B0%25EB%25A7%2581&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&"
c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,"나는 조경학과 2학년 재학생인데 참여할만한 프로그램 아무거나 추천해줘","조경학과 2학년 재학생에게는 2025학년도 전공캠프 '밤샘과제전_심야전공회'를 추천할 수 있다. 이 프로그램은 2학년 이상 재학생이 대상이며, 2025.06.25.(수)부터 06.26.(목)까지 1박 2일 일정으로 교원비전센터 가평에서 진행된다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29191&identified=anonymous&"
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,"2026학년도 1학기 교환학생 신청 기간이 언제야??","2026학년도 1학기 교환학생 온라인 지원서 접수 기간은 2025.07.14.(월) 09:00부터 07.18.(금) 18:00까지이며, 합격자 발표는 2025.07.28.(월) 18시경 홈페이지에 공지된다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29138&sort=4&pageIndex=1&searchCnd=1&searchWrd=%25EA%25B5%2590%25ED%2599%2598%25ED%2595%2599%25EC%2583%259D&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&"
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,"올해 시립대 인향제 날짜랑 기간이 어떻게 돼?","2025년 인향제는 2025.09.22.(월)부터 09.23.(화)까지 2일간 개최된다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29712&sort=2&pageIndex=1&searchCnd=1&searchWrd=%25EC%25B6%2595%25EC%25A0%259C&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&"
f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,"9월 캠퍼스 리크루팅에서 채용상담회에 오는 기업은 어디야?","9월 캠퍼스 리크루팅 채용상담회 참여 기업은 9월 2주차에 한화시스템 방산부문, 현대건설, 현대그룹이 있고 9월 3주차에는 HL디앤아이한라, 뷰웍스, 남해화학, 금융감독원이 있다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29517&identified=anonymous&"
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,"2026년도 논술 고사 학생 지원근무자를 지원하려는데, 근무자 사전 교육 기간이 언제야?","논술고사 근무자 사전교육은 2025.09.24.(수) 18:30~19:30 또는 19:30~20:30 두 회차 중 하나에 필수 참석해야 하며, 장소는 100주년기념관 국제회의장이다. 고사장 감독 보조, 고사장 통제 보조, 캠퍼스 출입구 통제 보조 모집분야에 해당된다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29688&identified=anonymous&"
b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,"2025학년도 제21기 하계 몽골 글로벌봉사단 신청했는데 최종명단 보여줘","2025학년도 제21기 하계 몽골 글로벌봉사단 최종 합격자 명단은 공지에 첨부된 '2025 하계 몽골 글로벌봉사단 최종 합격자 명단' PDF 파일로 제공된다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29113&identified=anonymous&"
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,"만다린 로보틱스 취업 멘토링을 듣고 싶은데 신청 방법 알려줘.","2025학년도 상반기 경영학부에서 만다린 로보틱스 소속 강사를 초청해 취업 멘토링을 진행하며, 신청 방법은 포털 로그인 후 UOStory 접속, 취업 메뉴에서 취업 프로그램 신청으로 들어가 해당 프로그램 과정명을 선택해 신청하면 된다. 시스템 신청 시 비고란에 사전 희망 질문을 기재해야 한다.","https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29169&identified=anonymous&"
