conversation_id,question,ground_truth,url
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,이번 여름방학에 학교 기숙사를 신청하려해. 국제학사 신청했는데 몇일에 입실해서 언제 퇴실해??,"2025학년도 하계 국제학사 기숙사 거주 기간은 2025.06.27.(금) 정기 입사일부터 2025.08.22.(금) 정기 퇴사일까지예요. 이 기간 안에서만 생활할 수 있으니, 입실·퇴실 날짜를 이 범위에 맞춰 잡으면 됩니다.",https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29038&sort=16&pageIndex=2&searchCnd=1&searchWrd=%25EA%25B8%25B0%25EC%2588%2599%25EC%2582%25AC&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,평점평균이 2.8인데 2025-2학기 시대튜터링 프로그램 튜터 신청 가능해?,"시대튜터링 학습도우미는 전체 평점 3.8 이상이거나, 해당 교과목 성적이 B+ 이상인 학생이 우선 선발 대상이에요. 평점이 2.8이면 이 기준에 못 미쳐서 이번 학기에는 튜터로 신청하기 어렵다고 보는 게 맞습니다.",https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29542&sort=1&pageIndex=1&searchCnd=1&searchWrd=%25ED%258A%259C%25ED%2584%25B0%25EB%25A7%2581&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,직전 학기 성적은 3.9인데 학습 도우미 신청 안되려나?,"학습도우미는 평점 평균이나 해당 교과목 성적을 기준으로 우선 선발해요. 직전 학기 성적이 3.9면 기본 성적 요건은 충분히 충족하는 편이라, 다른 조건만 맞으면 학습도우미 신청과 선발 모두 가능성이 있습니다.",https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29542&sort=1&pageIndex=1&searchCnd=1&searchWrd=%25ED%258A%259C%25ED%2584%25B0%25EB%25A7%2581&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&
c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,나는 조경학과 2학년 재학생인데 참여할만한 프로그램 아무거나 추천해줘,조경학과 2학년이라면 2025학년도 전공캠프 ‘밤샘과제전_심야전공회’ 참여를 추천드려요. 2학년 이상 재학생을 대상으로 2025.06.25.(수)~06.26.(목) 1박 2일 동안 교원비전센터 가평에서 진행되는 전공 집중 프로그램입니다.,https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29191&identified=anonymous&
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,2026학년도 1학기 교환학생 신청 기간이 언제야??,"2026학년도 1학기 교환학생 온라인 지원은 2025.07.14.(월) 09:00부터 07.18.(금) 18:00까지 접수받아요. 합격자는 2025.07.28.(월) 18시경 학교 홈페이지에 공지될 예정이니, 일정 참고해 두면 좋겠습니다.",https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29138&sort=4&pageIndex=1&searchCnd=1&searchWrd=%25EA%25B5%2590%25ED%2599%2598%25ED%2595%2599%25EC%2583%259D&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,올해 시립대 인향제 날짜랑 기간이 어떻게 돼?,2025년 인향제는 2025.09.22.(월)부터 09.23.(화)까지 이틀 동안 열려요. 이 기간 동안 각종 축제 프로그램과 행사들이 캠퍼스에서 진행될 예정입니다.,https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29712&sort=2&pageIndex=1&searchCnd=1&searchWrd=%25EC%25B6%2595%25EC%25A0%259C&cate_id=&viewAuth=Y&writeAuth=Y&board_list_num=10&lpageCount=12&menuid=2000005009002000000&identified=anonymous&
f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,9월 캠퍼스 리크루팅에서 채용상담회에 오는 기업은 어디야?,"9월 캠퍼스 리크루팅 채용상담회에는 2주차에 한화시스템 방산부문, 현대건설, 현대그룹이 참여합니다. 3주차에는 HL디앤아이한라, 뷰웍스, 남해화학, 금융감독원 등이 상담을 진행할 예정이에요.",https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29517&identified=anonymous&
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,"2026년도 논술 고사 학생 지원근무자를 지원하려는데, 근무자 사전 교육 기간이 언제야?","논술고사 근무자 사전교육은 2025.09.24.(수) 18:30~19:30, 19:30~20:30 두 타임 중 한 번은 반드시 참석해야 해요. 교육 장소는 100주년기념관 국제회의장이고, 고사장 감독·통제 보조 및 출입구 통제 보조 역할을 위한 교육입니다.",https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29688&identified=anonymous&
b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,2025학년도 제21기 하계 몽골 글로벌봉사단 신청했는데 최종명단 보여줘,2025학년도 제21기 하계 몽골 글로벌봉사단 최종 합격자 명단은 해당 공지에 첨부된 ‘2025 하계 몽골 글로벌봉사단 최종 합격자 명단’ PDF에서 확인할 수 있어요. 첨부파일을 열어 본인 이름이 있는지 확인해 주세요.,https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29113&identified=anonymous&
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,만다린 로보틱스 취업 멘토링을 듣고 싶은데 신청 방법 알려줘.,만다린 로보틱스 취업 멘토링은 포털에 로그인한 뒤 UOStory → ‘취업 프로그램 신청’ 메뉴에서 해당 프로그램을 선택해서 신청하면 돼요. 신청할 때 비고란에 미리 듣고 싶은 질문을 적어두면 멘토링에 반영됩니다.,https://www.uos.ac.kr/korNotice/view.do?list_id=FA1&seq=29169&identified=anonymous&
